symbol,formula,volume_limit,contract_size,type
EURUSD,lots,5,100000,Forex
GBPUSD,lots,5,100000,Forex
EURJPY,lots,5,100000,Forex
USDJPY,lots,5,100000,Forex
AUDUSD,lots,5,100000,Forex
USDCHF,lots,5,100000,Forex
GBPJPY,lots,5,100000,Forex
USDCAD,lots,5,100000,Forex
EURGBP,lots,5,100000,Forex
EURCHF,lots,5,100000,Forex
AUDJPY,lots,5,100000,Forex
NZDUSD,lots,5,100000,Forex
CHFJPY,lots,5,100000,Forex
EURAUD,lots,5,100000,Forex
CADJPY,lots,5,100000,Forex
GBPAUD,lots,5,100000,Forex
EURCAD,lots,5,100000,Forex
AUDCAD,lots,5,100000,Forex
GBPCAD,lots,5,100000,Forex
AUDNZD,lots,5,100000,Forex
NZDJPY,lots,5,100000,Forex
USDNOK,lots,5,100000,Forex
AUDCHF,lots,5,100000,Forex
USDMXN,lots,5,100000,Forex
GBPNZD,lots,5,100000,Forex
EURNZD,lots,5,100000,Forex
CADCHF,lots,5,100000,Forex
USDSGD,lots,5,100000,Forex
USDSEK,lots,5,100000,Forex
NZDCAD,lots,5,100000,Forex
GBPSGD,lots,5,100000,Forex
USDPLN,lots,5,100000,Forex
USDDKK,lots,5,100000,Forex
GBPNOK,lots,5,100000,Forex
NZDCHF,lots,5,100000,Forex
GBPCHF,lots,5,100000,Forex
XAUUSD,lots,3,100,Metals
XAGUSD,lots,3,5000,Metals
USDTRY,lots,5,100000,Forex
EURTRY,lots,5,100000,Forex
EURHKD,lots,5,100000,Forex
EURZAR,lots,5,100000,Forex
USDHKD,lots,5,100000,Forex
USDZAR,lots,5,100000,Forex
EURMXN,lots,5,100000,Forex
EURPLN,lots,5,100000,Forex
GBPZAR,lots,5,100000,Forex
NZDSGD,lots,5,100000,Forex
USDHUF,lots,5,100000,Forex
USDCZK,lots,5,100000,Forex
USDRUB,lots,5,100000,Forex
USDCNH,lots,5,100000,Forex
GBPSEK,lots,5,100000,Forex
EURSGD,lots,5,100000,Forex
GBPDKK,lots,5,100000,Forex
GBPTRY,lots,5,100000,Forex
XAUEUR,lots,3,100,Metals
XPDUSD,lots,3,100,Metals
XPTUSD,lots,3,50,Metals
USCRUDE,lots,10,10,Energy
UKBRENT,lots,10,10,Energy
BTCUSD,lots,5,1,Cryptocurrencies
ETHUSD,lots,5,1,Cryptocurrencies
XNGUSD,lots,1,10000,Energy
#AHT,lots,5,1,CFD_EU
#AIR,lots,5,1,CFD_EU
#ALV,lots,5,1,CFD_EU
#ASML,lots,5,1,CFD_EU
#ADS,lots,5,1,CFD_EU
#BAES,lots,5,1,CFD_EU
#BARC,lots,5,1,CFD_EU
#BATS,lots,5,1,CFD_EU
#BAYN,lots,5,1,CFD_EU
#BLND,lots,5,1,CFD_EU
#BRBY,lots,5,1,CFD_EU
#BMW,lots,5,1,CFD_EU
#BT,lots,5,1,CFD_EU
#CON,lots,5,1,CFD_EU
#HIK,lots,5,1,CFD_EU
#HSBA,lots,5,1,CFD_EU
#III,lots,5,1,CFD_EU
#IMB,lots,5,1,CFD_EU
#ITRK,lots,5,1,CFD_EU
#LRLCY,lots,5,1,CFD_EU
#MC,lots,5,1,CFD_EU
#NWG,lots,5,1,CFD_EU
#PSON,lots,5,1,CFD_EU
#RNO,lots,5,1,CFD_EU
#SIE,lots,5,1,CFD_EU
#UNA,lots,5,1,CFD_EU
#MBG,lots,5,1,CFD_EU
#TTE,lots,5,1,CFD_EU
#BNP,lots,5,1,CFD_EU
#PAH3,lots,5,1,CFD_EU
#VOD,lots,5,1,CFD_EU
#VOW,lots,5,1,CFD_EU
#KER,lots,5,1,CFD_EU
#UU,lots,5,1,CFD_EU
#TSCO,lots,5,1,CFD_EU
#AAPL,lots,5,1,CFD_US
#AGNC,lots,5,1,CFD_US
#TRIP,lots,5,1,CFD_US
#BKNG,lots,5,1,CFD_US
#EXPE,lots,5,1,CFD_US
#LCID,lots,5,1,CFD_US
#POOL,lots,5,1,CFD_US
#AMGN,lots,5,1,CFD_US
#AMZN,lots,5,1,CFD_US
#CSCO,lots,5,1,CFD_US
#DBX,lots,5,1,CFD_US
#DOCU,lots,5,1,CFD_US
#EBAY,lots,5,1,CFD_US
#GILD,lots,5,1,CFD_US
#GOOG,lots,5,1,CFD_US
#INO,lots,5,1,CFD_US
#INTC,lots,5,1,CFD_US
#LRCX,lots,5,1,CFD_US
#MRNA,lots,5,1,CFD_US
#MSFT,lots,5,1,CFD_US
#NFLX,lots,5,1,CFD_US
#NVDA,lots,5,1,CFD_US
#OKTA,lots,5,1,CFD_US
#PEP,lots,5,1,CFD_US
#PYPL,lots,5,1,CFD_US
#SBUX,lots,5,1,CFD_US
#TSLA,lots,5,1,CFD_US
#ZM,lots,5,1,CFD_US
#META,lots,5,1,CFD_US
#PDD,lots,5,1,CFD_US
#ADP,lots,5,1,CFD_US
#AVGO,lots,5,1,CFD_US
#MDLZ,lots,5,1,CFD_US
#QCOM,lots,5,1,CFD_US
#COIN,lots,5,1,CFD_US
#AMD,lots,5,1,CFD_US
FDAX,lots,5,1,Indices
FTSE,lots,5,1,Indices
CAC,lots,5,1,Indices
HK50,lots,5,1,Indices
NI225,lots,5,1,Indices
NQ,lots,5,1,Indices
SPX,lots,5,1,Indices
YM,lots,5,1,Indices
SX5E,lots,5,1,Indices
ASX200,lots,5,1,Indices
IBEX35,lots,5,1,Indices
AAVUSD,lots,5,10,Cryptocurrencies
ALGUSD,lots,5,10000,Cryptocurrencies
ALIUSD,lots,5,100,Cryptocurrencies
ADAUSD,lots,5,10000,Cryptocurrencies
AXSUSD,lots,5,100,Cryptocurrencies
ATOUSD,lots,5,100,Cryptocurrencies
AVXUSD,lots,5,100,Cryptocurrencies
BCHUSD,lots,5,10,Cryptocurrencies
BNBUSD,lots,5,100,Cryptocurrencies
DGEUSD,lots,5,10000,Cryptocurrencies
DOTUSD,lots,5,100,Cryptocurrencies
DSHUSD,lots,5,10,Cryptocurrencies
ENJUSD,lots,5,1000,Cryptocurrencies
EOSUSD,lots,5,1000,TMP
ETHBTC,lots,5,1,Cryptocurrencies
FILUSD,lots,5,100,Cryptocurrencies
ICPUSD,lots,5,100,Cryptocurrencies
ILVUSD,lots,5,10,TMP
ITAUSD,lots,5,10000,TMP
KAVUSD,lots,5,1000,Cryptocurrencies
LNKUSD,lots,5,100,Cryptocurrencies
